# Official example sentences from the New Ithkuil grammar (v1.3.1, 2023)
# by John Quijada, https://ithkuil.net/ — reproduced under the reuse terms
# of that site. Transcribed and glossed by the IthkuilTranslator project.
#
# Pipe-delimited, one example per line:
#   Section | Ithkuil | Gloss | English
#
# The Gloss column is the upstream hand-curated notation, which differs
# from what gloss.Formative emits; it is reference material, not an
# expected value.
#
# The Section column numbers ithkuil.net's chapters, not the sections of
# the Grammar Design PDF that docs/reference/morphology.md transcribes.
# The two disagree: what the PDF calls §5.6 (WH-interrogatives) is filed
# here under 10.6, and 5.6 here holds aspect examples. Of the 554
# distinct words below, 91 occur in the PDF, so most of this came from
# elsewhere on the site and cannot be checked against the document we
# hold. Cite an example as attested usage, not as a passage of the
# grammar, unless you have found it in the PDF yourself.
Section | Ithkuil | Gloss | English
3.1 | rrala | 'cat'-UPX | a cat
3.1 | anzwul | 'spherical-shape'-OBJ-UPX | a sphere
3.1 | rrasa | 'cat'-DPX | a pair of cats
3.1 | anzwut | 'spherical-shape'-OBJ-MSS | a group of similar spheres
3.1 | rraca | 'cat'-DSS | a pair of similar cats
3.1 | anzwuk | 'spherical-shape'-OBJ-MSC | a group of similar spheres touching each other
3.1 | rraţsa | 'cat'-DDS | a pair of dissimilar cats
3.1 | anzwup | 'spherical-shape'-OBJ-MSF | a group of similar spheres fused together
3.1 | rrata | 'cat'-MSS | a group of similar cats
3.1 | anzwuf | 'spherical-shape'-OBJ-MDC | a group of dissimilar spheres touching each other
3.1 | rraţa | 'cat'-MDS | a group of dissimilar cats
3.1 | anzwuç | 'spherical-shape'-OBJ-MDF | a group of dissimilar spheres fused together
3.1 | rraza | 'cat'-MFS | a group of what appear to be cats, some more than others
3.1 | anzwuž | 'spherical-shape'-OBJ-MFC | a group of rounded objects touching each other/connected to one another, some of which appear to be spheres, others less so
3.1 | Blöfêi onţlilu. | 'curved.translative.motion'-DYN-OBJ-MDC-ASR-USP stem0/prc-'automobile'-STA-OBJ-IND | The driver drove the car along a series of variously-sized curves.
3.2.1 | čveţa |  | a bunch of tools
3.2.1 | arsweţ |  | a group of planets
3.2.1 | zvata |  | a set/group of similar dogs
3.2.1 | sřula |  | a room's function
3.2.2 | čvelţa |  | a well-designed set of tools
3.2.2 | arswelţ |  | an alliance of planets
3.2.2 | zvalta |  | a pack of similar dogs
3.2.2 | sřunļa |  | the room's singular purpose
3.2.3 | čverţa |  | a toolset
3.2.3 | arswerţ |  | a confederation of planets
3.2.3 | zvarta |  | a dog team
3.2.3 | sřurļa |  | a room whose purposes are interrelated
3.2.4 | čveřţa |  | a mish-mash of various tools
3.2.4 | arsweřţ |  | a disorganized group of planets
3.2.4 | zvařta |  | a rag-tag group of dogs
3.2.4 | sřuňa |  | a room with disparate purposes
3.3.1 | avsal |  | a season
3.3.1 | ţrala |  | a drop of water
3.3.1 | elzeţ |  | different rivers
3.3.2 | avsar |  | one or more seasons / any number of seasons
3.3.2 | ţrara |  | some water
3.3.2 | elzeţra |  | at least one set of different rivers
3.3.3 | avsav |  | a season (as a generic concept)
3.3.3 | ţrava |  | water (as a generic concept)
3.3.3 | elzeţwa |  | different rivers (as a generic concept)
3.3.4 | avsaj |  | everything about a season / season-hood
3.3.4 | ţraja |  | everything having to do with water
3.3.4 | elzeţya |  | different rivers as an idea
3.4.1 | elzel |  | a river
3.4.1 | psulça |  | a situation
3.4.1 | uẓfäl |  | a tunnel
3.4.1 | erbräl |  | an explanation
3.4.2 | elzed |  | a section/stretch of (a) river
3.4.2 | psulçta |  | the midst of a situation
3.4.2 | ujrarft |  | an area/section of a transportation system
3.4.2 | erbräd |  | a portion of an explanation
3.4.3 | elzeg |  | the source of a river
3.4.3 | psulçka |  | the beginning of a situation
3.4.3 | ujrarfk |  | the initial part of a transportation system
3.4.3 | erbräg |  | the start of an explanation
3.4.4 | elzeb |  | the end of a river
3.4.4 | psulçpa |  | a situation's end
3.4.4 | ujrarfpa |  | end of a transportation system
3.4.4 | erbräb |  | the end of an explanation
3.4.5 | elzegz |  | the headwaters of a river
3.4.5 | psulçga |  | an evolving situation
3.4.5 | ujrarfga |  | a developing transportation system
3.4.5 | erbrägz |  | a gradual explanation
3.4.6 | elzebz |  | the mouth of a river
3.4.6 | psulçba |  | last vestiges of a situation
3.4.6 | ujrarfba |  | decline of a transportation system
3.4.6 | erbräbz |  | the unraveling of an explanation
3.5.1 | Ẓalá kšili ežḑatļëi. | 'see'-NRM 'clown'-NRM-AFF 'ghost'-RPV-STM | The clown sees what he thinks is/imagines to be ghost.
3.5.1 | Ẓatļá kšili wežḑëi. | 'see'-RPV 'clown'-NRM-AFF 'ghost'-NRM-STM | The clown imagines he is seeing a ghost.
3.7 | Arţtulawá ulhiliolu wiosaḑca Iţkuil. | PRC-'study'-DYN-RTR-OBS-stem3/prc-'cousin'-OBJ-GEN-1M-IND-stem2/n-CARRIER-CLG1-1-THM 'Ithkuil' | My cousin studied the Ithkuil language.
3.7 | Ärţtulawá ulhiliolu wiosaḑca Iţkuil. | CPT-'study'-DYN-RTR-OBS-stem3/prc-'cousin'-OBJ-GEN-1M-IND-stem2/n-CARRIER-CLG1-1-THM 'Ithkuil' | My cousin learned the Ithkuil language.
3.8 | Byalá pa. |  | He has/shows/is showing common sense.
3.8 | Byulá pa. (Byulá pu.) |  | He uses/exercises/is demonstrating common sense.
